symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CARD14	0.8283549260843273	No data	No data	0.8915681567196835	0.9190679877429972	0.7599134970145264	0.607930797611621	0.9549947196932794	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.763216037092989	0.08900706950439213	0.5943815251311042	No data	0	0	0	0	0	0	No data	0.10762658887268173	-0.7878314850768972	0	No data	No data	0	0.5	0
IL36RN	0.8160791438970336	0.579045464638544	No data	0.91427367901977	0.9190679877429972	0.006079307976116211	0.607930797611621	0.865457038266544	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.456416305561661	0.26473540144884855	0.4792858860503619	No data	0	1	0	0	0	0.5483849999999997	No data	0.9195665763700771	-0.21719161075687693	0	No data	No data	0	0.75	0.5
IL12B	0.7760555663375248	0.9156889155831561	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.9722472509375855	No data	No data	No data	No data	No data	No data	0.4019748743623038	0.35130576934316143	No data	1	0	1	0	0	0	0	No data	0.01083559074807261	-0.7719200804355791	0	No data	No data	No data	0.5	1
TYK2	0.7269150737634387	0.9349675177774369	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9537051350495958	No data	No data	No data	No data	No data	No data	0.37228882187863127	No data	No data	1	0	0	1	1	0	0	1	-0.41800375078141283	-0.9014193774316098	0	No data	No data	0	-1	0
TRAF3IP2	0.7054548948675634	0.9392103820322417	No data	0.5555947107239007	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5995126086150767	No data	No data	0.75	0	0	0	0	0	0	No data	0.08616378412169201	-0.8093433439281369	0	-1	No data	No data	-1	-1
IL23A	0.6667066988944188	0.34346994992604873	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9885662023449989	No data	No data	No data	No data	No data	No data	0.9348287653345548	0.11793857473665449	No data	1	0	1	0	0	0	0	No data	-0.24453011043967499	-0.7944718512949752	0	No data	No data	No data	1	0.5
IL17RA	0.6587706732451891	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9699838217412077	No data	No data	No data	No data	No data	No data	0.32652106490377514	No data	No data	1	0	1	0	0	0	0	No data	-0.3426755574077933	-0.7891548734562925	0	No data	No data	0	0.5	-1
TNF	0.6393987822740157	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9917707382722585	No data	No data	No data	No data	No data	No data	0.9872835211045874	No data	0.4782388941211419	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9827310106118933	0	-1	No data	0	0.5	0
IL17A	0.6371410189566968	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9894231597876175	No data	No data	No data	No data	No data	No data	0.9678099913076472	0.460572153162301	No data	1	0	1	1	1	0	0	No data	0.2833923734111272	-0.8363396721742761	0	No data	No data	0	0.5	1
PDE4A	0.6335283317644641	0.22024146470024297	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9788905921255391	No data	No data	No data	No data	No data	No data	0.34743167521657775	0.03474702295677245	No data	1	1	0	1	1	1	0.03498999999999981	0	-0.7453636174202959	No data	0	-1	No data	0	-1	-1
VDR	0.6286800758899201	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9927599191502705	No data	No data	No data	No data	No data	No data	0.8274213612094511	No data	No data	1	0	0	1	1	1	0.4028100000000002	0	-0.038653886226297174	-0.9596415368969071	0	-1	No data	0	1	0
AHR	0.6219653660768886	0.31682519823330507	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.8384223216289866	No data	No data	1	0	0	1	1	0	0	No data	-0.9383204834340487	-0.9813428898284817	0	-1	No data	0	-1	-1
AP1S3	0.617188068968007	No data	No data	0.309115923618909	No data	0.607930797611621	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11497855150159879	No data	No data	No data	0	0	0	0	0	0.7727249999999998	No data	0.2067097311939987	-0.022060910089015118	0	No data	No data	-0.3019475	0.5	0
IFIH1	0.617106185517548	0.9010925725903873	0.416565241972601	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3651204062717884	0.13961172000071936	No data	No data	0	0	0	0	0	0	No data	0.6482600541779537	-0.869157213342554	0	No data	No data	0	0.5	-1
NR3C1	0.6093768922526535	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.994346905866608	No data	No data	No data	No data	No data	No data	0.16063620022877478	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
DHFR	0.5994906952929696	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9821490710475367	No data	No data	No data	No data	No data	No data	0.045355568220923355	0.05919400010818598	No data	1	0	0	1	1	1	0.46524	0	-0.032090018753907046	-0.8860725421928369	-1	-1	No data	-0.7860949999999999	-1	-1
RARA	0.5988823556795987	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9814104227843666	No data	No data	No data	No data	No data	No data	0.07411154627436843	No data	No data	1	0	0	1	1	1	0.91342	0	-0.7160866847259846	-0.7673055439722722	0	-1	No data	-0.32359250000000017	-1	-1
RARB	0.5986571772548869	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9814104227843666	No data	No data	No data	No data	No data	No data	0.0667035180712751	No data	No data	1	0	0	1	1	0	0.9107149999999997	0	-0.9656178370493853	-0.7108312426076324	0	-1	No data	-0.38058000000000014	-1	0
PDE4D	0.5973779660103067	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9788905921255391	No data	No data	No data	No data	No data	No data	0.07501602399069257	No data	No data	1	1	0	1	1	1	0.8640300000000003	1	-0.8817461971244009	-0.7179667329277475	0	-1	No data	-0.09146999999999998	0.5	0
RARG	0.5973225833351921	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9814104227843666	No data	No data	No data	No data	No data	No data	0.02279740491043579	No data	No data	1	0	0	1	1	0	0.9008800000000001	1	-0.842779745780371	-0.7868117977957109	0	-1	No data	-0.26762000000000014	0.5	-1
PDE4B	0.5970771836329912	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9788905921255391	No data	No data	No data	No data	No data	No data	0.03273528136513433	0.05057172662373052	No data	1	0	0	1	1	1	0.8573349999999997	1	-0.6331527401541988	-0.7028487395236738	0	-1	No data	-0.24932000000000015	0.5	-1
PDE4C	0.595097738445391	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9788905921255391	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0	No data	-0.12773494478016256	0	0	No data	No data	-0.23897000000000013	0.5	0
RXRA	0.5930200654769184	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9682959326165844	No data	No data	No data	No data	No data	No data	0.14354090479940387	No data	No data	1	0	0	1	1	1	0.8376649999999998	1	-0.9352990206292978	-0.9814740846810129	0	-1	No data	-0.2911249999999999	0.5	-1
RXRB	0.5909616596779308	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9682959326165844	No data	No data	No data	No data	No data	No data	0.0758224800354494	No data	No data	1	0	0	1	1	1	0.7185749999999999	1	-0.8653886226297145	-0.6744182660129202	0	-1	No data	-0.038462499999999976	-1	0
ITGAL	0.5899356917591904	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9638949611970661	No data	No data	No data	No data	No data	No data	0.1300891219977839	No data	No data	1	1	0	1	1	1	0	1	-0.6129401958741405	-0.2994873857775432	0	No data	No data	0	0.5	0
RXRG	0.5886569186396886	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9682959326165844	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.9136049999999998	1	-0.5467805792873515	-0.19968429659618592	0	No data	No data	-0.2872575000000001	0.5	0
IL17F	0.5842452843986521	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.926467945345367	No data	No data	No data	No data	No data	No data	0.5281186488814469	0.3674363170370279	No data	1	0	1	0	0	0	0	No data	0.3250677224421754	0	0	No data	No data	0	0.5	1
EGFL8	0.5730203552088599	No data	0.9419670423080216	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	1	0	0	0	0.010240000000000294	No data	0.3187122317149407	-0.1317761340245982	0	No data	No data	0	-1	0
PPIA	0.5684866838700917	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9268090404417277	No data	No data	No data	No data	No data	No data	0.16616775134717646	No data	No data	1	0	1	1	1	0	0.7878799999999998	No data	-0.2416128360075016	-0.8842370993563428	-1	No data	No data	-0.6515149999999998	-1	-1
IL23R	0.5684472242368955	0.9077995987983799	No data	0.015198269940290528	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5112844890071843	No data	No data	No data	1	0	0	1	0	0	No data	-0.3694519691602417	-0.25968950302935195	0	-1	No data	0	0.5	0.5
TNFAIP3	0.5657354230658121	0.8914861239383952	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7500261490065258	0.07219716790913233	No data	No data	0	0	0	0	0	0.39873499999999995	No data	-0.8903938320483434	-0.8825640198650078	0	No data	-1	0	0.5	-1
IL13	0.5609533264466341	0.9062829691501539	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.32885315857081615	No data	No data	1	0	1	0	0	1	0	No data	0.703063138153782	-0.8039983479926279	0	-1	No data	No data	1	1
NOS2	0.5555277817711425	0.8819050363061306	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.48202017892263627	0.3507737766158057	No data	0.75	0	0	1	1	1	0.02862000000000009	0	-0.1893102729735362	-0.9793476611753634	0	-1	No data	0	0.75	0.5
RIGI	0.5532845212054355	0.8768692864270974	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6648347669198852	No data	No data	No data	1	0	0	0	0	0	No data	0.2015003125651178	-0.8979810981553557	0	No data	No data	0	-1	-1
NFKBIA	0.5351284970756226	0.8571622091062815	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16566328009822978	0.03582874724450818	0.37908538103068645	No data	0	0	1	1	0	0.5583599999999997	No data	-0.8945613669514483	-0.845692957481306	0	-1	No data	0	0.5	-1
ERAP1	0.532801902855463	0.8471255003146043	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5858634516305238	No data	No data	0.5	1	1	1	1	1	0.2189149999999998	No data	0.27255678266305483	-0.6654538516491006	0	No data	No data	0	-1	-1
ZC3H12C	0.5291129564499502	0.8543934659528957	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3191434043861806	No data	No data	No data	0	0	0	0	0	0.6036250000000003	No data	-0.8219420712648469	-0.20869903485310176	0	No data	No data	0	-1	-1
IL1RL2	0.5182410224727958	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8179055959421959	No data	No data	No data	No data	No data	No data	0.6912306875451748	No data	No data	1	0	0	0	0	0	0	No data	0.0980412585955408	-0.2733808474308125	0	No data	No data	0	0.5	0
IFNLR1	0.5073111070829891	0.8282853460098369	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1240580687152621	No data	No data	0.75	0	0	0	0	0	0	No data	-0.1806626380495937	0	0	No data	No data	0	-1	0
IL1RAP	0.4996650192491659	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8179055959421959	No data	No data	No data	No data	No data	No data	0.08010839215861132	No data	No data	1	0	1	0	0	0	0	No data	-0.5679308189206085	0	0	No data	No data	0	1	-1
PLCL2	0.4970795677991758	0.8152264210457943	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04863446380892969	No data	No data	No data	0	0	0	0	0	0.8402850000000001	No data	-0.9856220045842884	-0.17840722248362612	0	No data	No data	-0.043922500000000045	0.5	0
KLF13	0.48840860751077075	0.7994402731994054	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.06558642222612229	No data	No data	0	0	0	0	0	0.6875	No data	0.027297353615336473	0	0	No data	No data	0	-1	-1
JAK2	0.4813108497972907	0.5309344392005358	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6538688109948484	No data	No data	No data	No data	No data	No data	0.23028208631217903	No data	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.7031673265263596	-0.8880652763329555	0	-1	-1	0	-1	-1
CDKAL1	0.4798702666994106	0.7815803343244042	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1306839369332891	0.055602878025150106	No data	No data	0	0	0	0	0	0.5250450000000001	No data	-0.4717649510314649	-0.7858049550081581	0	No data	No data	0	-1	-1
PTGER4	0.47536687869816924	0.7716927112986637	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20499416156504718	No data	No data	1	1	0	1	1	0	0.4159849999999999	1	-0.7570327151489894	-0.9613965032289162	0	No data	No data	0	0.5	0
ETS1	0.47369501666584135	0.7740772434338798	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10230179699053195	No data	No data	No data	0	0	0	0	1	0.6804099999999998	No data	-0.6400291727443217	-0.9202363218672646	0	-1	No data	0	0.5	-1
TNIP1	0.4698440204067534	0.7375858358542863	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7054380200202256	No data	No data	No data	0	0	0	0	0	0.1666649999999997	No data	-0.6339862471348198	-0.9421435043774714	0	No data	No data	0	-1	-1
ELMO1	0.4694553002078148	0.7706984946507449	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	0	0	0.9793649999999999	No data	-0.7117107730777246	-0.2097889780003545	0	No data	No data	-0.3810175000000001	0.5	-1
SOCS1	0.4694416191126562	0.7660624031432107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12266828277750799	No data	No data	No data	0	0	0	0	0	0.78673	No data	0.1942071264846843	-0.9551199699325719	0	No data	-1	0	-1	0
TNRC18	0.468122085108172	0.7678975262493788	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04255515583281348	No data	No data	No data	0	0	0	0	0	0	No data	-0.7747447384871848	No data	0	No data	No data	0	-1	-1
SH2B3	0.46397574402543096	0.7584142042496042	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09581327109691154	No data	No data	No data	0	0	0	0	0	0	No data	-0.13252760991873302	0	0	No data	-1	0	0.5	-1
PTPN22	0.4575304564786276	0.7149354429931624	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7245188947693497	0.06486621610515998	No data	No data	1	0	1	1	0	0	No data	0.2202542196290893	-0.7777096794822363	0	No data	No data	0	0.5	0
IL4R	0.45279119359524783	0.7378194719589474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.060715296325209195	0.11276861716460522	No data	1	1	1	0	0	0	0	No data	-0.09783288185038552	-0.8084523459059023	0	No data	No data	0	-1	-1
PTPN2	0.4454719903609476	0.726166065825033	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13203064497503245	No data	No data	No data	0	0	1	1	0	0.4337350000000001	1	-0.9112315065638674	-0.7767185402855089	0	-1	No data	0	0.5	-1
CD2	0.44524756440017776	0.417078576249514	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6221636700110103	No data	No data	No data	No data	No data	No data	0.17863290794814757	0.1596400127730541	No data	1	1	0	0	1	0	0	No data	-0.3504896853511148	No data	0	No data	No data	0	1	0
IKBKE	0.43422074810405814	0.7099358606519762	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	0.0756783063947613	No data	No data	0	0	1	1	0	0.1689950000000003	1	No data	-0.2278438854779874	0	-1	No data	0	0.5	0
TCF7L2	0.433206102658011	0.6855459078133915	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5089731733337295	0.071845996917377	No data	No data	0	0	1	1	0	0.7334400000000002	No data	-0.7949572827672432	-0.8839520763137076	0	-1	-1	0	-1	-1
IL2RA	0.42640858228207446	0.6742858007849213	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07599134970145263	No data	No data	No data	No data	No data	No data	0.29332307579563827	0.12862484353782697	No data	1	0	0	0	1	0	0	No data	-0.3085017712023338	-0.8950522684742601	0	No data	No data	No data	0.5	0
BACH2	0.4244722758860732	0.6788238554334542	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07295169571339452	0.03191332842166463	0.347614830074325	No data	0	0	0	0	0	0.5005949999999999	No data	-0.8465305271931652	-0.35063214038584284	0	No data	No data	0	0.75	0
EXOC2	0.42157963801253107	0.6934664926810614	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5779200000000003	No data	-0.3895603250677224	-0.4025761376112691	0	No data	No data	No data	-1	-1
TNFSF15	0.41647692253128016	0.6676882641295554	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.34344264718702755	0.009563251072987984	No data	No data	0	1	0	0	0	0	No data	0.0528235048968535	0	0	No data	No data	0	0.5	0
JAK1	0.4127758888741717	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6548437898606441	No data	No data	No data	No data	No data	No data	0.4828240796759069	No data	No data	1	0	0	1	1	0	0.7400350000000003	1	-0.8714315482392165	-0.9404746140460091	0	No data	-1	0	-1	-1
NRSN1	0.4066050220054314	0.6688343864184235	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.6153849999999998	No data	0.6148155865805376	-0.2024885471391505	0	No data	No data	0	0.75	0.5
DENND1B	0.40175632200458844	0.6560289691099938	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06991204172533642	0.0600332353923077	No data	No data	0	0	0	0	0	0.19354999999999975	No data	-0.5146905605334444	-0.14275645265703907	0	No data	No data	0	-1	0
JAZF1	0.4014570583170017	0.6531556423134693	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14421469476675677	No data	No data	No data	0	0	0	0	0	0.9794249999999998	No data	-0.6228380912690143	-0.37488308494159406	0	No data	No data	No data	0.5	-1
JAK3	0.4001918383695847	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6516609397921599	No data	No data	No data	No data	No data	No data	0.11384082937965523	0.041949227215741965	No data	1	1	0	1	1	1	0.1014249999999997	1	-0.4636382579704105	-0.8828158224280025	0	No data	-1	0	0.5	0
REL	0.3998652440721256	0.6246470857967148	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6431635787448349	0.042421444039017146	No data	No data	0	0	0	0	0	0	No data	-0.8512190039591582	-0.79601482936065	0	No data	No data	0	0.5	-1
HLA-C	0.3949179508963251	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8335848853576472	No data	No data	No data	1	0	0	0	0	0	No data	0.1346113773702855	-0.6731233513695991	0	-1	No data	-0.6379774999999999	0.5	0
SMAD3	0.38876721095169015	0.6306386103220308	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15869461793194017	0.04136402235209541	No data	No data	0	0	1	1	0	1	No data	-0.6261721191914982	-0.8758774639922706	0	No data	-1	-0.7941175000000001	-1	-1
CRYBG1	0.38652289499714365	0.6358008123879838	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.12242133777870379	-0.1317761340245982	0	No data	No data	0	0.5	0
SNAI1	0.38297615870953744	0.6293587697119475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0.375	No data	-0.28318399666597205	No data	0	No data	No data	0	0.5	0
CAMK2G	0.37917090051330593	0.5937667479394437	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5988118356474468	No data	No data	No data	1	0	1	1	1	0.787415	No data	-0.8382996457595332	-0.5894336149212489	0	No data	No data	-0.50255	0.5	-1
MICA	0.37665668014713305	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23281681040783075	No data	No data	No data	1	0	No data	No data	No data	No data	No data	-0.0723067305688685	No data	0	No data	No data	-0.5256025000000001	-1	0
CD40	0.37602495848244466	0.583137425012294	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.2249342581189689	No data	No data	0.5	1	1	0	1	0	0	No data	-0.5973119399874973	-0.2546990079032288	0	-1	No data	0	-1	0
TLR4	0.37355160328999826	0.5882492360869368	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5242957278641202	No data	No data	0.75	1	0	1	1	0	0	0	0.10252135861637846	-0.968333440794506	0	-1	No data	0	-1	-1
MST1	0.3729512987170828	0.607139732823914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12673668433542265	No data	No data	No data	0	1	No data	No data	No data	0	No data	0.15242758908105847	-0.37488308494159406	0	No data	No data	0	1	-1
IL10	0.3717851795024831	0.5840063007160793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5510417752727639	No data	No data	0.5	0	1	0	0	0	0	No data	0.16045009376953523	-0.9605896874209293	0	-1	No data	0	0.5	0
LACC1	0.3701905853109907	0.6089354031171955	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.20295894978120432	-0.25007499251733567	0	No data	No data	No data	-1	0
IFNGR2	0.369573280225947	0.5985744355968302	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	No data	No data	No data	0.07858856516458228	No data	No data	1	0	0	0	0	0	0	No data	-0.7052510939779121	0	0	No data	No data	0	-1	-1
CD6	0.3670865517893279	0.5962598298428372	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15139347660232552	No data	No data	0.75	1	1	0	0	0	0	No data	-0.31048135028130863	-0.08888451419193671	0	No data	No data	0	0.5	0
RNF114	0.36614363174471637	0.593792135908178	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16972671780466383	No data	No data	No data	1	0	0	0	0	0.4956150000000001	No data	-0.1400291727443217	0	0	No data	No data	0	0.5	-1
NKX2-3	0.36536272747924753	0.600993943578198	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.4642850000000003	No data	-0.73379870806418	-0.7763080393205964	0	No data	No data	0	0.75	0.5
AIM2	0.36245717125870425	0.5488846953142165	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8472401814730786	0.22355189259435018	No data	No data	0	0	0	0	0	0	No data	0.7095228172535946	-0.8174853538455412	0	No data	No data	0	0.5	0
PRKCB	0.36097891117792846	0.5599958838704693	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.10061731811066188	0.09236275886303263	No data	1	0	0	1	1	0	0.9405650000000001	0	-0.9889560325067722	-0.19643079818522036	0	-1	No data	-0.4948	0.5	0
TNFRSF1A	0.3607379884800903	0.5846425622937125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17488073603297877	No data	No data	0.25	1	1	0	1	0	0	No data	-0.8435090643884142	-0.9392443232357308	0	-1	No data	0	-1	-1
GPR35	0.36064205220387885	0.5932287912057326	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	0	0	1	0.6208585121900396	-0.5916851843148718	0	No data	No data	0	0.5	0
B3GNT2	0.3583430789554727	0.5873405056968838	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0421329816678054	No data	No data	No data	0	0	0	0	0	0.3702750000000002	No data	-0.6109606167951657	-0.2838740570276904	0	No data	No data	0	-1	-1
