symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ATP1A2	0.01563565616782362	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12859733566099507	No data	1	1	0	1	1	0	0.9558799999999998	No data	-0.5040633465305272	-0.8597126475267491	0	-1	No data	-0.6764700000000001	0.75	0
AASS	0.015632063258493336	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07330621862240988	0.11024123069025477	No data	No data	0	0	0	0	0	0.3736499999999999	No data	-0.12617211919149818	0	0	No data	No data	No data	0.5	0
PTPN21	0.015629548904039142	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12854710573508515	No data	No data	0	0	0	0	0	0.4633749999999999	No data	-0.3114190456345072	No data	0	No data	No data	0	-1	0
UBE2F	0.01562489260263202	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.12090967445370336	No data	No data	0	0	0	0	0	0.8378399999999999	No data	-0.6555532402583872	-0.8379458385348015	0	No data	No data	0	-1	-1
CHRM1	0.01560816411478958	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1283712239625744	No data	1	1	0	1	1	0	0.9456499999999999	1	-0.874036257553657	-0.20744991348439518	0	-1	No data	0	0.75	0.5
RNF222	0.015606893924491412	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12836077712961944	No data	No data	0	0	0	0	0	0.18181999999999973	No data	0.8774744738487186	No data	0	No data	No data	No data	0.5	0.5
SPTSSA	0.015606345774931939	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12835626880760623	No data	No data	0	0	0	0	0	0.92958	No data	-0.027714107105647035	-0.6887024489731416	0	No data	No data	0	-1	-1
GPRASP1	0.015596870179638206	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12827833563387198	No data	No data	0	0	0	0	0	0	No data	-0.607314023754949	No data	0	No data	No data	0	0.5	-1
MAP4K4	0.015575930404943402	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12810611393711743	No data	No data	No data	0	0	1	1	0	0.5448000000000001	No data	-0.9161283600750156	-0.40973398712218556	0	-1	No data	-0.17810750000000014	0.5	-1
NLRC3	0.015555456766585323	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.115506851546208	0.049723497954194215	No data	No data	0	0	0	0	0	0	No data	0.39310272973536153	-0.19353879351525577	No data	No data	No data	0	0.5	0
H3C3	0.015551833854069014	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04966446538195794	0.11549181260931536	No data	No data	0	0	No data	No data	No data	No data	No data	No data	No data	0	No data	No data	-1	0.5	0.5
KIF4A	0.01554229080051804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12782944096251633	No data	No data	0	0	0	0	0	0.35065000000000024	No data	-0.8870598041258595	-0.7837662955330427	-1	No data	No data	-0.8478075	0.5	0.5
IL20RA	0.01552883270433288	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10822236748060511	0.07798554300145298	No data	No data	0	0	0	0	0	0	No data	-0.32944363409043553	-0.1666389176743005	0	No data	No data	0	0.5	0
OSR2	0.01552438459271716	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12768216920172362	No data	No data	1	0	0	0	0	0.9038449999999998	No data	-0.145446968118358	-0.6768549154399752	0	No data	No data	0	0.5	0
ITGB7	0.015522353896757478	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12766546749844043	No data	No data	1	1	0	1	0	0	0.3045099999999998	No data	-0.31944155032298394	0	0	No data	No data	0	0.5	0
CST3	0.015522353896757475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12766546749844043	No data	No data	No data	0	1	0	0	1	0	No data	0.6800375078141279	-0.2899021973604782	0	No data	No data	0	0.5	-1
LPCAT1	0.015522353896757475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12766546749844043	No data	No data	No data	0	0	0	0	0	0.41947499999999993	No data	-0.524692644300896	-0.8512003467281545	0	No data	No data	0	0.5	0
FUT1	0.015506191443223348	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0916241526461994	0.10462649929289852	No data	No data	0	0	0	0	0	0	No data	0.48906022087934997	0	0	No data	No data	0	0.5	0
HSP90B2P	0.015501140080213098	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1274909919115174	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
KIF18A	0.015495876835830986	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12744770372474687	No data	No data	0	0	1	1	0	0	No data	-0.526880600125026	-0.6880635725813513	-1	No data	No data	0	0.75	0.5
SUNO1	0.015487670017174729	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12738020575714512	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
KIF18B	0.015487447679923333	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1273783771176662	No data	No data	0	0	0	0	0	0	No data	-0.44811419045634504	0	0	No data	No data	0	0.5	0.5
SLC9A2	0.015485136601757018	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1273593693771849	No data	No data	0	0	1	1	0	0.5566499999999998	No data	-0.4894769743696603	0	0	No data	No data	0	0.5	0
ENSG00000274213	0.015484967906021203	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12735798191880576	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CHEK1	0.015468064226139907	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12721895556952634	No data	0.5	0	0	1	1	1	0.6533599999999999	1	0.026880600125026133	-0.650668899308468	-1	No data	No data	No data	0.5	0
ATP13A5	0.015462660661546824	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.11957537833215007	No data	No data	1	0	0	0	0	0.14613999999999977	No data	0.4382162950614712	-0.13805873379873962	0	No data	No data	0	0.75	0.5
