symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ANTXR2	0.028103644489911705	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2311418059450397	No data	No data	No data	1	1	1	1	0	0.13934500000000014	No data	-0.494790581371119	-0.7703473560739976	0	No data	No data	0	-1	-1
MMP3	0.02779006611944991	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22856274290288295	No data	No data	0.75	0	1	1	1	1	0	No data	0.551885809543655	-0.1613539839587136	0	-1	No data	-0.45492750000000015	0.5	0
GDPD3	0.0277095876848274	0.04558016766659974	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.6196082517191082	No data	0	No data	No data	0	0.5	0
STX4	0.02757615378099859	0.04384085203282249	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	0	0	0.5117849999999997	No data	0.30235465722025423	-0.7793822045115018	0	No data	No data	0	-1	-1
AQP12A	0.026769072054113496	0.04403309087034446	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.6381537820379246	-0.12616763293866934	No data	No data	No data	-0.9745750000000001	1	1
TBC1D22B	0.026690317732240815	0.04390354599092383	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9405949999999997	No data	-0.49906230464680146	No data	0	No data	No data	-0.05445499999999992	-1	-1
DEF6	0.02668206048148715	0.043889963440432715	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.61965	No data	-0.8123567409877057	0	0	No data	No data	0	0.5	0
PNPLA1	0.02668206048148715	0.043889963440432715	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.1985830381329443	-0.7890505703041053	0	No data	No data	0	1	0.5
BCL7C	0.026652204144286835	0.04384085203282249	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.22942279641592	0	0	No data	No data	0	-1	-1
ENSG00000288644	0.02663961740997693	0.043820147810632475	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PCARE	0.0265603197993138	0.04368970926240517	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.24005001041883722	-0.30128188648831516	0	No data	No data	No data	1	1
VEGFA	0.0264481988947039	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21752639444004968	No data	No data	1	0	1	1	1	0	0.18987499999999996	No data	-0.0866847259845801	-0.9928550189956322	0	-1	No data	0	-1	-1
IL37	0.02634780276092993	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.216700674356708	No data	No data	No data	0	1	0	0	0	No data	No data	0.7741196082517192	No data	0	No data	No data	0	1	0.5
SEC16A	0.026304094749883943	0.0432682385120558	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.722025421962909	No data	-1	No data	No data	0	-1	-1
CAST	0.026192084646994563	0.041564163404048254	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	No data	No data	No data	No data	No data	0	No data	No data	No data	0	No data	No data	No data	No data	No data
